Higher Taxon,December 2012,Family,Subfamily
Amphisbaenia,Amphisbaena rozei,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena sanctaeritae,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena saxosa,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena schmidti,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena scutigerum,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena silvestrii,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena slateri,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena slevini,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena spurelli,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena steindachneri,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena stejnegeri,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena supernumeraria,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena talisiae,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena townsendi,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena trachura,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena tragorrhectes,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena uroxena,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena vanzolinii,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena varia,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena vermicularis,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena wiedi,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena wuchereri,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Amphisbaena xera,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Ancylocranium barkeri,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Ancylocranium ionidesi,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Ancylocranium somalicum,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Baikia africana,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Chirindia ewerbecki,Amphisbaenidae,Amphisbaenidae
